Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
123.30.116.134 / local_display,1,0,7,1.0,1.0,0.0,0.0,0,0.0
172.16.0.1:1000 / local_display,1,0,8,0.375,4.875,289.0,0.0,0,0.0
172.16.0.1:2050 / local_display,1,1,1,0.0,11.0,299.0,0.0,0,0.0
172.168.0.1 / local_display,1,0,2,1.0,1.0,0.0,0.0,0,0.0
172.17.0.1:12082 / local_display,1,0,2,1.0,1.0,0.0,0.0,0,0.0
172.23.3.254:1000 / local_display,1,0,8,0.25,3.625,132.375,0.0,0,0.0
192.168.1.1 / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
192.168.162.254:90 / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
192.168.2.1 / local_display,1,0,4,0.25,4.75,492.25,0.0,0,0.0
192.168.70.2:8880 / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
59.29.251.41 / local_display,1,0,1,0.0,5.0,1175.0,0.0,0,0.0
5giay.vn / local_display,1,1,1,0.0,3.0,59.0,0.0,0,0.0
amp-24h-com-vn.cdn.ampproject.org / local_display,1,0,7,0.2857142857142857,5.0,404.0,0.0,0,0.0
animehay.tv / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
apkpure.com / local_display,1,0,4,0.5,4.75,457.75,0.0,0,0.0
axcus.top / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
bachlongmobile.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
bak.com.vn / local_display,1,0,3,0.6666666666666666,1.6666666666666667,12.333333333333334,0.0,0,0.0
blog.naver.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
bongda.com.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
bongdaplus.vn / local_display,1,0,2,0.0,7.5,163.0,0.0,0,0.0
cancaukr.vn / local_display,1,0,10,0.7,6.6,165.3,0.0,0,0.0
chartsapi.gdgdocs.org / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
chonhanh.vn / local_display,1,1,1,0.0,2.0,14.0,0.0,0,0.0
cic.org.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
clickbuy.com.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
degrey.vn / local_display,1,0,18,0.2777777777777778,4.277777777777778,382.5,0.0,0,0.0
dienmayxanh.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
dientuachau.com / local_display,1,0,5,0.2,4.0,74.4,0.0,0,0.0
dmca.com / local_display,1,0,6,0.0,3.3333333333333335,260.0,0.0,0,0.0
docbao.vn / local_display,1,0,2,0.5,4.5,108.0,0.0,0,0.0
ebank.tpb.vn / local_display,1,0,10,0.4,4.6,125.3,0.0,0,0.0
ebanking.scb.com.vn / local_display,1,0,1,0.0,8.0,1048.0,0.0,0,0.0
fedauth.pg.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
giare24h.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
google.com.vn / referral,1,0,7,0.7142857142857143,2.2857142857142856,21.428571428571427,0.0,0,0.0
hangmy.fptshop.com.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
hdvietnam.com / local_display,1,0,2,0.5,1.5,4.0,0.0,0,0.0
hoangkien.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
hocacanh.vn / local_display,1,0,9,0.2222222222222222,4.666666666666667,250.55555555555554,0.0,0,0.0
hocdientu.vn / local_display,1,0,1,0.0,2.0,1660.0,0.0,0,0.0
hoco.vn / local_display,1,0,1,0.0,2.0,45.0,0.0,0,0.0
homeokatu.com / local_display,1,1,1,0.0,4.0,53.0,0.0,0,0.0
hyundaithuduc.vn / local_display,1,1,4,0.5,2.25,40.75,0.0,0,0.0
ieltsonlinetests.com / local_display,1,0,7,0.42857142857142855,6.857142857142857,182.71428571428572,0.0,0,0.0
imasdk.googleapis.com / referral,1,0,1,1.0,1.0,0.0,0.0,0,0.0
in.search.yahoo.com / local_display,1,1,1,0.0,6.0,41.0,0.0,0,0.0
int.search.tb.ask.com / local_display,1,1,3,0.3333333333333333,3.0,161.33333333333334,0.0,0,0.0
iwater.vn / local_display,1,0,3,0.3333333333333333,4.666666666666667,78.0,0.0,0,0.0
kenh14.vn / local_display,1,0,2,0.5,3.5,49.5,0.0,0,0.0
lazada.vn / local_display,1,1,5,1.0,1.0,0.0,0.0,0,0.0
lg.com / local_display,1,0,1,0.0,2.0,5.0,0.0,0,0.0
lienvietpharmacy.hostingerapp.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
linhkienlammusic.com / local_display,1,0,4,0.5,3.5,69.75,0.0,0,0.0
livejournal.top / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
livescore.com / local_display,1,0,10,0.6,1.5,31.2,0.0,0,0.0
livetv.sx / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
lm.workplace.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
logoutwifi.netnam.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
m.blog.naver.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
m.cafef.vn / local_display,1,0,46,0.6521739130434783,1.6304347826086956,46.32608695652174,0.0,0,0.0
m.gamek.vn / local_display,1,0,10,0.7,1.9,18.0,0.0,0,0.0
